0	egu1000.fasta_00279
1	egu1000.fasta_00289
2	egu1000.fasta_00194
3	egu1000.fasta_00070
4	egu1000.fasta_00408
5	egu1000.fasta_00411
6	egu1000.fasta_00414
7	egu1000.fasta_00136
8	egu1000.fasta_00413
9	egu1000.fasta_00071
10	egu1000.fasta_00441
11	egu1000.fasta_00410
12	egu1000.fasta_00412
13	egu1000.fasta_00420
14	egu1000.fasta_00417
15	egu1000.fasta_00419
16	egu1000.fasta_00448
17	egu1000.fasta_00211
18	egu1000.fasta_00180
19	egu1000.fasta_00209
20	egu1000.fasta_00376
21	egu1000.fasta_00380
22	egu1000.fasta_00423
23	egu1000.fasta_00409
24	egu1000.fasta_00365
25	egu1000.fasta_00049
26	egu1000.fasta_00366
27	egu1000.fasta_00447
28	egu1000.fasta_00364
29	egu1000.fasta_00369
30	egu1000.fasta_00367
31	egu1000.fasta_00088
32	egu1000.fasta_00087
33	egu1000.fasta_00257
34	egu1000.fasta_00307
35	egu1000.fasta_00324
36	egu1000.fasta_00378
37	egu1000.fasta_00368
38	egu1000.fasta_00179
39	egu1000.fasta_00392
40	egu1000.fasta_00089
41	egu1000.fasta_00496
42	egu1000.fasta_00251
43	egu1000.fasta_00477
44	egu1000.fasta_00252
45	egu1000.fasta_00207
46	egu1000.fasta_00208
47	egu1000.fasta_00108
48	egu1000.fasta_00117
49	egu1000.fasta_00340
50	egu1000.fasta_00315
51	egu1000.fasta_00344
52	egu1000.fasta_00349
53	egu1000.fasta_00444
54	egu1000.fasta_00025
55	egu1000.fasta_00338
56	egu1000.fasta_00330
57	egu1000.fasta_00301
58	egu1000.fasta_00386
59	egu1000.fasta_00122
60	egu1000.fasta_00348
61	egu1000.fasta_00387
62	egu1000.fasta_00339
63	egu1000.fasta_00341
64	egu1000.fasta_00314
65	egu1000.fasta_00237
66	egu1000.fasta_00024
67	egu1000.fasta_00343
68	egu1000.fasta_00379
69	egu1000.fasta_00184
70	egu1000.fasta_00231
71	egu1000.fasta_00163
72	egu1000.fasta_00371
73	egu1000.fasta_00333
74	egu1000.fasta_00150
75	egu1000.fasta_00149
76	egu1000.fasta_00094
77	egu1000.fasta_00095
78	egu1000.fasta_00294
79	egu1000.fasta_00290
80	egu1000.fasta_00393
81	egu1000.fasta_00498
82	egu1000.fasta_00293
83	egu1000.fasta_00297
84	egu1000.fasta_00097
85	egu1000.fasta_00096
86	egu1000.fasta_00381
87	egu1000.fasta_00298
88	egu1000.fasta_00291
89	egu1000.fasta_00295
90	egu1000.fasta_00296
91	egu1000.fasta_00292
92	egu1000.fasta_00313
93	egu1000.fasta_00372
94	egu1000.fasta_00286
95	egu1000.fasta_00239
96	egu1000.fasta_00084
97	egu1000.fasta_00085
98	egu1000.fasta_00491
99	egu1000.fasta_00487
100	egu1000.fasta_00124
101	egu1000.fasta_00121
102	egu1000.fasta_00497
103	egu1000.fasta_00492
104	egu1000.fasta_00374
105	egu1000.fasta_00105
106	egu1000.fasta_00152
107	egu1000.fasta_00383
108	egu1000.fasta_00022
109	egu1000.fasta_00083
110	egu1000.fasta_00480
111	egu1000.fasta_00278
112	egu1000.fasta_00457
113	egu1000.fasta_00398
114	egu1000.fasta_00347
115	egu1000.fasta_00375
116	egu1000.fasta_00407
117	egu1000.fasta_00405
118	egu1000.fasta_00346
119	egu1000.fasta_00345
120	egu1000.fasta_00488
121	egu1000.fasta_00360
122	egu1000.fasta_00490
123	egu1000.fasta_00391
124	egu1000.fasta_00042
125	egu1000.fasta_00373
126	egu1000.fasta_00061
127	egu1000.fasta_00060
128	egu1000.fasta_00305
129	egu1000.fasta_00304
130	egu1000.fasta_00342
131	egu1000.fasta_00418
132	egu1000.fasta_00424
133	egu1000.fasta_00321
134	egu1000.fasta_00475
135	egu1000.fasta_00123
136	egu1000.fasta_00370
137	egu1000.fasta_00205
138	egu1000.fasta_00329
139	egu1000.fasta_00238
140	egu1000.fasta_00489
141	egu1000.fasta_00377
142	egu1000.fasta_00046
143	egu1000.fasta_00115
144	egu1000.fasta_00118
145	egu1000.fasta_00466
146	egu1000.fasta_00468
147	egu1000.fasta_00099
148	egu1000.fasta_00098
149	egu1000.fasta_00058
150	egu1000.fasta_00193
151	egu1000.fasta_00303
152	egu1000.fasta_00051
153	egu1000.fasta_00422
154	egu1000.fasta_00264
155	egu1000.fasta_00265
156	egu1000.fasta_00183
157	egu1000.fasta_00177
